,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,XTZ-USD,2.3595372764818574,14.0
1,SNX-USD,ALGO-USD,12.005833434255507,16.0
2,SNX-USD,DOGE-USD,30.793158695803815,19.0
3,XTZ-USD,COMP-USD,0.025845794965996295,8.0
4,XTZ-USD,DOT-USD,0.17519102516276452,20.0
5,XTZ-USD,LTC-USD,0.012058373035669005,14.0
6,XTZ-USD,UNI-USD,0.18435405623129258,9.0
7,XTZ-USD,MATIC-USD,0.9979691717205532,10.0
8,ETC-USD,YFI-USD,0.0024005528368071885,10.0
9,ETC-USD,XMR-USD,0.13260003550002597,20.0
10,ETC-USD,BTC-USD,0.0007304137202022218,11.0
11,ZEC-USD,FIL-USD,6.679615473343576,10.0
12,ZEC-USD,NEAR-USD,18.952376618528398,14.0
13,LINK-USD,ALGO-USD,33.689866340207445,11.0
14,MKR-USD,NEAR-USD,345.96823869496313,13.0
15,ATOM-USD,COMP-USD,0.26344121877182025,24.0
16,ATOM-USD,ADA-USD,28.45359576345225,14.0
17,CELO-USD,SUSHI-USD,0.6048687455716317,9.0
18,CELO-USD,1INCH-USD,1.2613395978074637,8.0
19,FIL-USD,NEAR-USD,2.8363504813352134,18.0
20,FIL-USD,UMA-USD,2.7968628423284656,24.0
21,FIL-USD,BTC-USD,0.00020159031003254496,11.0
22,ZRX-USD,XLM-USD,2.769611747872766,21.0
23,ZRX-USD,ALGO-USD,1.340472614807457,21.0
24,ZRX-USD,DOGE-USD,3.4451666471464635,13.0
25,ZRX-USD,UNI-USD,0.048595187034149556,19.0
26,ZRX-USD,MATIC-USD,0.2629984280857552,20.0
27,TRX-USD,YFI-USD,7.500993536664659e-06,18.0
28,TRX-USD,XLM-USD,0.6206707097632269,8.0
29,TRX-USD,XMR-USD,0.0004146049006365713,7.0
30,TRX-USD,BTC-USD,2.282179445207656e-06,23.0
31,TRX-USD,DOT-USD,0.010340821386651922,16.0
32,TRX-USD,AVAX-USD,0.0036708560631730563,21.0
33,YFI-USD,BTC-USD,0.3042338105129038,10.0
34,COMP-USD,DOT-USD,6.7783833926496015,8.0
35,COMP-USD,LTC-USD,0.46655242441200173,5.0
36,COMP-USD,MATIC-USD,38.610816760829536,4.0
37,COMP-USD,1INCH-USD,80.37192923808657,9.0
38,EOS-USD,XMR-USD,0.007619135788914943,11.0
39,EOS-USD,AVAX-USD,0.06748322159838721,23.0
40,ALGO-USD,UMA-USD,0.10546947871841819,7.0
41,ALGO-USD,1INCH-USD,0.40825468215114125,7.0
42,XMR-USD,LTC-USD,1.716938005246889,13.0
43,UMA-USD,DOT-USD,0.3263336414670123,19.0
44,UMA-USD,LTC-USD,0.022463608381921102,9.0
45,UMA-USD,MATIC-USD,1.8590029882505288,12.0
46,UMA-USD,1INCH-USD,3.8699373564153223,11.0
47,UMA-USD,AVAX-USD,0.11585838142986127,20.0
48,UNI-USD,MATIC-USD,5.413033432414773,6.0
